SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;id
0135.93.03.00002928;43.060.400;4306.03;3522
0133.93.03.00004023;106.998.100;8732.94;3524
0135.93.03.00002924;44.902.500;12726.52;3526
0133.93.03.00004031;181.022.000;18101.82;3534
0133.93.03.00004042;146.471.700;6317.74;3538
0141.93.03.00002384;60.000.000;3000;3544
0135.93.03.00002943;335.192.500;60519.25;3551
0123.93.03.00000558;36.062.400;3155.46;3561
0125.93.03.00000179;301.116.900;30111.67;3564
0133.93.03.00004093;19.415.200;1941.04;3581
0142.93.03.00000340;40.742.100;3994.29;3605
0126.93.03.00000778;31.705.600;3170.57;3608
0153.93.03.00001162;34.961.000;3496.11;3615
0131.93.03.00000907;15.536.100;1553.6;3618
0141.93.03.00002410;225.636.400;22562.58;3620
0141.93.03.00002412;57.000.000;2850;3622
0133.93.03.00004115;39.535.200;3952.52;3625
0126.93.03.00000806;14.227.600;70664.23;3631
0141.93.03.00002407;48.519.400;4851.92;3633
0133.93.03.00004151;29.688.100;2968.8;3648
0124.93.03.00000453;88.517.800;5650.5;3654
0135.93.03.00002993;42.559.400;5014.62;3656
0129.93.03.00000457;479.648.000;35973.6;3664
0124.93.03.00000451;10.399.600;2079.92;3672
0133.93.03.00004134;75.962.400;7595.48;3680
0135.93.03.00002992;80.195.900;5113.06;3687
0129.93.03.00000459;36.598.400;2744.88;3695
0135.93.03.00002989;31.929.800;4789.47;3700
0126.93.03.00000798;52.885.000;5289.04;3708
0135.93.03.00002997;45.964.900;4341.13;3714
0141.93.03.00002415;4.600.900;459.31;3718
0126.93.03.00000823;20.000.000;3737.82;3730
0126.93.03.00000824;113.957.800;5697.89;3732
0126.93.03.00000822;62.040.000;3102;3735
0143.93.03.00001097;3.338.200;3338.21;3739
0126.93.03.00000828;118.249.600;4361.11;3742
0153.93.03.00001188;60.955.200;6095.51;3747
0126.93.03.00000821;31.705.600;2853.56;3754
0133.93.03.00004155;41.676.400;4167.67;3761
0153.93.03.00001190;60.925.900;3046.3;3772
0129.93.03.00000466;24.493.200;2449.3;3785
0141.93.03.00002416;25.451.200;2227.27;3789
0143.93.03.00001093;60.165.700;6016.59;3792
0143.93.03.00001100;362.021.100;36201.59;3797
0129.93.03.00000469;65.329.000;8532.9;3803
0133.93.03.00004178;121.413.300;13853.61;3807
0141.93.03.00002432;3.879.100;3879.14;3828
0126.93.03.00000836;111.666.600;4132.37;3833
0133.93.03.00004208;69.429.400;6942.92;3851
0126.93.03.00000844;82.647.400;4132.37;3858
0133.93.03.00004212;38.791.400;1939.58;3860
0123.93.03.00000593;46.435.000;4643.36;3868
0123.93.03.00000594;52.144.200;4809.62;3871
0124.93.03.00000468;255.423.800;12771.19;3878
0135.93.03.00003057;45.984.400;4598.45;3881
0152.93.03.00000258;298.950.500;29892.05;3893
0133.93.03.00004237;145.456.700;14544.65;3895
0115.93.03.00000396;91.880.200;9189.05;3906
0133.93.03.00004239;158.569.100;15856.86;3910
0115.93.03.00000398;22.212.500;2220.27;3919
0123.93.03.00000603;87.539.300;8753.92;3923
0153.93.03.00001218;23.869.400;2386.95;3929
0126.93.03.00000866;165.294.800;8264.74;3932
0143.93.03.00001124;155.516.600;15551.64;3939
0126.93.03.00000858;63.997.400;6399.75;3949
0126.93.03.00000856;23.850.500;1790.42;3951
0133.93.03.00004267;129.269.900;12560.65;3954
0115.93.03.00000406;113.620.600;11362.08;3962
0133.93.03.00004288;191.683.700;19168.36;3986
0135.93.03.00003096;31.554.300;3155.83;3989
0133.93.03.00004303;40.633.500;4063.32;4000
0133.93.03.00004301;228.137.000;91254.8;4011
0135.93.03.00003100;282.623.900;18785.5;4016
0124.93.03.00000477;42.417.200;6241.72;4021
0153.93.03.00001238;30.833.400;3083.33;4030
0133.93.03.00004333;142.312.300;14431.23;4032
0151.93.03.00000148;69.922.000;5593.76;4034
0126.93.03.00000883;22.543.900;2254.4;4036
0126.93.03.00000885;16.505.800;3301.17;4051
0126.93.03.00000888;94.668.600;9466.87;4055
0131.93.03.00000960;17.870.700;1882.86;4057
